"id","latitude","longitude","type_of_violence","best","dyad_name"
3147,28,3,1,3,"Government of Algeria - AQIM"
3282,36.166667,2.166667,1,0,"Government of Algeria - AQIM"
3178,36.817,4.3,1,3,"Government of Algeria - AQIM"
3574,36.763056,3.050556,1,1,"Government of Algeria - AQIM"
5904,36.600817,3.445932,1,7,"Government of Algeria - AQIM"
4013,34.666667,6,1,2,"Government of Algeria - AQIM"
5810,36.31,2.162222,1,1,"Government of Algeria - AQIM"
1554,36.624812,3.477879,1,5,"Government of Algeria - AQIM"
4554,36.75,3.666667,1,3,"Government of Algeria - AQIM"
6620,28,3,1,0,"Government of Algeria - AQIM"
3991,28,3,1,2,"Government of Algeria - AQIM"
6622,28,3,1,1,"Government of Algeria - AQIM"
6276,36.75,4.25,1,1,"Government of Algeria - AQIM"
1699,28,3,1,1,"Government of Algeria - AQIM"
3261,36.730461,3.494822,1,1,"Government of Algeria - AQIM"
5637,36.716667,3.666667,1,1,"Government of Algeria - AQIM"
5991,36.711825,4.045914,1,2,"Government of Algeria - AQIM"
1748,35.404167,8.124167,1,3,"Government of Algeria - AQIM"
5159,36.75,3.666667,1,1,"Government of Algeria - AQIM"
5122,36.743276,3.717296,1,3,"Government of Algeria - AQIM"
3513,35.404167,8.124167,1,5,"Government of Algeria - AQIM"
3688,35.404167,8.124167,1,5,"Government of Algeria - AQIM"
5433,36.75,6,1,9,"Government of Algeria - AQIM"
5665,36.91716,3.913107,1,1,"Government of Algeria - AQIM"
4705,36.583333,3,1,1,"Government of Algeria - AQIM"
3457,36.583333,3,1,15,"Government of Algeria - AQIM"
1712,36.166667,2.166667,1,3,"Government of Algeria - AQIM"
3435,36.7441,3.9005,1,3,"Government of Algeria - AQIM"
2517,36.711825,4.045914,1,1,"Government of Algeria - AQIM"
3514,36.583333,4,1,3,"Government of Algeria - AQIM"
3833,35.383333,5.366667,1,1,"Government of Algeria - AQIM"
4910,36.75,4.25,1,2,"Government of Algeria - AQIM"
5262,36.083333,4.75,1,1,"Government of Algeria - AQIM"
2735,35.404167,8.124167,1,4,"Government of Algeria - AQIM"
2586,36.75,4.25,1,4,"Government of Algeria - AQIM"
4412,36.7441,3.9005,1,2,"Government of Algeria - AQIM"
4946,36.083333,3,1,1,"Government of Algeria - AQIM"
6232,36.758965,3.474819,1,4,"Government of Algeria - AQIM"
2874,36.758965,3.474819,1,2,"Government of Algeria - AQIM"
5140,34.666667,6,1,2,"Government of Algeria - AQIM"
4040,36.758965,3.474819,1,2,"Government of Algeria - AQIM"
3586,36.521996,4.205148,1,1,"Government of Algeria - AQIM"
5165,28,3,1,1,"Government of Algeria - AQIM"
2649,36.583333,3,1,6,"Government of Algeria - AQIM"
2729,36.3689,4.2708,1,1,"Government of Algeria - AQIM"
